pair_id,frame_id,frame_type,frame_probe,lang,lang_name,family,script,neg_strategy,affirmative,negative,neg_exponent,confidence
F01-en,F01,copular_adjectival,predicate adjective negation,en,English,IE/Germanic,Latn,particle+do-support,The door is open.,The door is not open.,not,A
F01-es,F01,copular_adjectival,predicate adjective negation,es,Spanish,IE/Romance,Latn,preverbal particle,La puerta está abierta.,La puerta no está abierta.,no,A
F01-fr,F01,copular_adjectival,predicate adjective negation,fr,French,IE/Romance,Latn,bipartite ne...pas,La porte est ouverte.,La porte n'est pas ouverte.,ne...pas,A
F01-pt,F01,copular_adjectival,predicate adjective negation,pt,Portuguese,IE/Romance,Latn,preverbal particle,A porta está aberta.,A porta não está aberta.,não,A
F01-de,F01,copular_adjectival,predicate adjective negation,de,German,IE/Germanic,Latn,particle + kein,Die Tür ist offen.,Die Tür ist nicht offen.,nicht,A
F01-ru,F01,copular_adjectival,predicate adjective negation,ru,Russian,IE/Slavic,Cyrl,particle + net,Дверь открыта.,Дверь не открыта.,не,A
F01-pl,F01,copular_adjectival,predicate adjective negation,pl,Polish,IE/Slavic,Latn,particle nie,Drzwi są otwarte.,Drzwi nie są otwarte.,nie,B
F01-el,F01,copular_adjectival,predicate adjective negation,el,Greek,IE/Hellenic,Grek,den / min,Η πόρτα είναι ανοιχτή.,Η πόρτα δεν είναι ανοιχτή.,δεν,B
F01-hi,F01,copular_adjectival,predicate adjective negation,hi,Hindi,IE/Indo-Aryan,Deva,nahin / mat / na,दरवाज़ा खुला है।,दरवाज़ा खुला नहीं है।,नहीं,B
F01-fa,F01,copular_adjectival,predicate adjective negation,fa,Persian,IE/Iranian,Arab,verbal prefix na-,در باز است.,در باز نیست.,نیست,B
F01-ar,F01,copular_adjectival,predicate adjective negation,ar,Arabic MSA,Afro-Asiatic,Arab,la/ma/lam/lan/laysa,الباب مفتوح.,الباب ليس مفتوحًا.,ليس,B
F01-he,F01,copular_adjectival,predicate adjective negation,he,Hebrew,Afro-Asiatic,Hebr,lo / ein / al,הדלת פתוחה.,הדלת לא פתוחה.,לא,B
F01-tr,F01,copular_adjectival,predicate adjective negation,tr,Turkish,Turkic,Latn,suffix -mA-,Kapı açık.,Kapı açık değil.,değil,B
F01-fi,F01,copular_adjectival,predicate adjective negation,fi,Finnish,Uralic,Latn,negative auxiliary verb,Ovi on auki.,Ovi ei ole auki.,ei,B
F01-hu,F01,copular_adjectival,predicate adjective negation,hu,Hungarian,Uralic,Latn,nem / ne,Az ajtó nyitva van.,Az ajtó nincs nyitva.,nincs,B
F01-zh,F01,copular_adjectival,predicate adjective negation,zh,Mandarin,Sino-Tibetan,Hans,bu / mei(you),门开着。,门没开着。,没,B
F01-ja,F01,copular_adjectival,predicate adjective negation,ja,Japanese,Japonic,Jpan,suffix -nai,ドアは開いている。,ドアは開いていない。,-ない,B
F01-ko,F01,copular_adjectival,predicate adjective negation,ko,Korean,Koreanic,Kore,an- / -ji anh- / mot,문이 열려 있다.,문이 열려 있지 않다.,-지 않다,B
F01-vi,F01,copular_adjectival,predicate adjective negation,vi,Vietnamese,Austroasiatic,Latn,khong,Cửa đang mở.,Cửa không mở.,không,C
F01-id,F01,copular_adjectival,predicate adjective negation,id,Indonesian,Austronesian,Latn,tidak / bukan,Pintu itu terbuka.,Pintu itu tidak terbuka.,tidak,B
F01-sw,F01,copular_adjectival,predicate adjective negation,sw,Swahili,Niger-Congo,Latn,negative verb morphology,Mlango uko wazi.,Mlango hauko wazi.,hau-,C
F01-ta,F01,copular_adjectival,predicate adjective negation,ta,Tamil,Dravidian,Taml,illai / alla,கதவு திறந்திருக்கிறது.,கதவு திறந்திருக்கவில்லை.,இல்லை,C
F01-ga,F01,copular_adjectival,predicate adjective negation,ga,Irish,IE/Celtic,Latn,ni / nil / nior / na,Tá an doras oscailte.,Níl an doras oscailte.,níl,C
F01-ka,F01,copular_adjectival,predicate adjective negation,ka,Georgian,Kartvelian,Geor,ar / ver / nu,კარი ღიაა.,კარი ღია არ არის.,არ,C
F02-en,F02,existential,negative existential,en,English,IE/Germanic,Latn,particle+do-support,There is water in the glass.,There is no water in the glass.,no,A
F02-es,F02,existential,negative existential,es,Spanish,IE/Romance,Latn,preverbal particle,Hay agua en el vaso.,No hay agua en el vaso.,no,A
F02-fr,F02,existential,negative existential,fr,French,IE/Romance,Latn,bipartite ne...pas,Il y a de l'eau dans le verre.,Il n'y a pas d'eau dans le verre.,ne...pas + de,A
F02-pt,F02,existential,negative existential,pt,Portuguese,IE/Romance,Latn,preverbal particle,Há água no copo.,Não há água no copo.,não,A
F02-de,F02,existential,negative existential,de,German,IE/Germanic,Latn,particle + kein,Es ist Wasser im Glas.,Es ist kein Wasser im Glas.,kein,A
F02-ru,F02,existential,negative existential,ru,Russian,IE/Slavic,Cyrl,particle + net,В стакане есть вода.,В стакане нет воды.,нет + GEN,A
F02-pl,F02,existential,negative existential,pl,Polish,IE/Slavic,Latn,particle nie,W szklance jest woda.,W szklance nie ma wody.,nie ma + GEN,B
F02-el,F02,existential,negative existential,el,Greek,IE/Hellenic,Grek,den / min,Υπάρχει νερό στο ποτήρι.,Δεν υπάρχει νερό στο ποτήρι.,δεν,B
F02-hi,F02,existential,negative existential,hi,Hindi,IE/Indo-Aryan,Deva,nahin / mat / na,गिलास में पानी है।,गिलास में पानी नहीं है।,नहीं,B
F02-fa,F02,existential,negative existential,fa,Persian,IE/Iranian,Arab,verbal prefix na-,در لیوان آب هست.,در لیوان آب نیست.,نیست,B
F02-ar,F02,existential,negative existential,ar,Arabic MSA,Afro-Asiatic,Arab,la/ma/lam/lan/laysa,هناك ماء في الكوب.,لا يوجد ماء في الكوب.,لا يوجد,B
F02-he,F02,existential,negative existential,he,Hebrew,Afro-Asiatic,Hebr,lo / ein / al,יש מים בכוס.,אין מים בכוס.,אין,B
F02-tr,F02,existential,negative existential,tr,Turkish,Turkic,Latn,suffix -mA-,Bardakta su var.,Bardakta su yok.,yok,B
